customer_id,name,email_domain,payment_method,terms_days
CUST-001,Acme Robotics Inc,acmerobotics.example,wire,30
CUST-002,Oakhaven Analytics Co,oakhavenanalytics.example,wire,30
CUST-003,Driftwood Security LLC,driftwoodsecurity.example,ach,30
CUST-004,Thistledown Systems Inc,thistledownsystems.example,wire,30
CUST-005,Marrowstone Games Inc,marrowstonegames.example,wire,30
CUST-006,Lanternfish Security Inc,lanternfishsecurity.example,wire,30
CUST-007,Pinecrest Security LLC,pinecrestsecurity.example,wire,30
CUST-008,Ravenmoor Finance Co,ravenmoorfinance.example,wire,30
CUST-009,Elmstead Bio Corp,elmsteadbio.example,wire,30
CUST-010,Yarrowby Finance Co,yarrowbyfinance.example,ach,30
CUST-011,Kittiwake Finance Corp,kittiwakefinance.example,wire,30
CUST-012,Copperline Media LLC,copperlinemedia.example,wire,30
CUST-013,Tessellate Legal LLC,tessellatelegal.example,wire,30
CUST-014,Quillfeather Energy LLC,quillfeatherenergy.example,wire,30
CUST-015,Hollowbrook Analytics Co,hollowbrookanalytics.example,wire,30
CUST-016,Fernhollow Media Co,fernhollowmedia.example,wire,30
CUST-017,Umberfield Finance Corp,umberfieldfinance.example,wire,30
CUST-018,Brightwater Energy Ltd,brightwaterenergy.example,wire,30
CUST-019,Birchfold Media Co,birchfoldmedia.example,wire,30
CUST-020,Larkspur Analytics Inc,larkspuranalytics.example,wire,30
CUST-021,Saltmarsh Games Ltd,saltmarshgames.example,wire,30
CUST-022,Valewood Health Corp,valewoodhealth.example,wire,30
CUST-023,Alderbank Health Ltd,alderbankhealth.example,ach,30
CUST-024,Quarryside Bio Inc,quarrysidebio.example,wire,30
CUST-025,Mossgate Retail Inc,mossgateretail.example,wire,30
CUST-026,Goldcrest Legal Co,goldcrestlegal.example,wire,30
CUST-027,Ironbark Security Corp,ironbarksecurity.example,wire,30
CUST-028,Wrenfield Systems Corp,wrenfieldsystems.example,ach,30
CUST-029,Northwind Security Ltd,northwindsecurity.example,wire,30
CUST-030,Harrowgate Security Ltd,harrowgatesecurity.example,wire,30
CUST-031,Foxglove Analytics Inc,foxgloveanalytics.example,wire,30
CUST-032,Cindervale Media Ltd,cindervalemedia.example,ach,30
CUST-033,Palisade Energy Inc,palisadeenergy.example,wire,30
CUST-034,Zephyrine Labs Corp,zephyrinelabs.example,wire,30
CUST-035,Emberline Retail Co,emberlineretail.example,wire,30
CUST-036,Juniper Row Retail Ltd,juniperrowretail.example,wire,30
CUST-037,Nettlefield Media Ltd,nettlefieldmedia.example,wire,30
CUST-038,Gravelly Retail Corp,gravellyretail.example,ach,30
CUST-039,Dunmore Labs Ltd,dunmorelabs.example,wire,30
CUST-040,Ostrander Systems LLC,ostrandersystems.example,ach,30
