customer_id,due_date,paid_date
CUST-001,2025-10-01,2025-10-06
CUST-001,2025-10-31,2025-11-05
CUST-001,2025-12-01,2025-12-08
CUST-002,2025-10-01,2025-10-06
CUST-002,2025-10-31,2025-11-04
CUST-002,2025-12-01,2025-12-04
CUST-003,2025-10-01,2025-10-07
CUST-003,2025-10-31,2025-11-05
CUST-003,2025-12-01,2025-12-08
CUST-004,2025-10-01,2025-10-08
CUST-004,2025-10-31,2025-11-07
CUST-004,2025-12-01,2025-12-08
CUST-005,2025-10-01,2025-10-02
CUST-005,2025-10-31,2025-11-03
CUST-005,2025-12-01,2025-12-04
CUST-006,2025-10-01,2025-10-06
CUST-006,2025-10-31,2025-11-05
CUST-006,2025-12-01,2025-12-08
CUST-007,2025-10-01,2025-10-03
CUST-007,2025-10-31,2025-11-03
CUST-007,2025-12-01,2025-12-03
CUST-008,2025-10-01,2025-10-02
CUST-008,2025-10-31,2025-10-31
CUST-008,2025-12-01,2025-12-02
CUST-009,2025-10-01,2025-10-06
CUST-009,2025-10-31,2025-11-05
CUST-009,2025-12-01,2025-12-08
CUST-010,2025-10-01,2025-10-06
CUST-010,2025-10-31,2025-11-05
CUST-010,2025-12-01,2025-12-08
CUST-011,2025-10-01,2025-10-03
CUST-011,2025-10-31,2025-11-03
CUST-011,2025-12-01,2025-12-03
CUST-012,2025-10-01,2025-10-15
CUST-012,2025-10-31,2025-11-17
CUST-012,2025-12-01,2025-12-15
CUST-013,2025-10-01,2025-10-09
CUST-013,2025-10-31,2025-11-10
CUST-013,2025-12-01,2025-12-09
CUST-014,2025-10-01,2025-10-03
CUST-014,2025-10-31,2025-11-03
CUST-014,2025-12-01,2025-12-03
CUST-015,2025-10-01,2025-10-06
CUST-015,2025-10-31,2025-11-03
CUST-015,2025-12-01,2025-12-05
CUST-016,2025-10-01,2025-10-03
CUST-016,2025-10-31,2025-10-31
CUST-016,2025-12-01,2025-12-05
CUST-017,2025-10-01,2025-10-02
CUST-017,2025-10-31,2025-11-03
CUST-017,2025-12-01,2025-12-02
CUST-018,2025-10-01,2025-10-07
CUST-018,2025-10-31,2025-11-10
CUST-018,2025-12-01,2025-12-11
CUST-019,2025-10-01,2025-10-07
CUST-019,2025-10-31,2025-11-06
CUST-019,2025-12-01,2025-12-08
CUST-020,2025-10-01,2025-10-03
CUST-020,2025-10-31,2025-11-03
CUST-020,2025-12-01,2025-12-03
CUST-021,2025-10-01,2025-10-01
CUST-021,2025-10-31,2025-11-03
CUST-021,2025-12-01,2025-12-01
CUST-022,2025-10-01,2025-10-09
CUST-022,2025-10-31,2025-11-10
CUST-022,2025-12-01,2025-12-09
CUST-023,2025-10-01,2025-10-01
CUST-023,2025-10-31,2025-10-31
CUST-023,2025-12-01,2025-12-01
CUST-024,2025-10-01,2025-10-03
CUST-024,2025-10-31,2025-11-03
CUST-024,2025-12-01,2025-12-03
CUST-025,2025-10-01,2025-10-01
CUST-025,2025-10-31,2025-11-03
CUST-025,2025-12-01,2025-12-05
CUST-026,2025-10-01,2025-10-08
CUST-026,2025-10-31,2025-11-10
CUST-026,2025-12-01,2025-12-09
CUST-027,2025-10-01,2025-10-03
CUST-027,2025-10-31,2025-11-03
CUST-027,2025-12-01,2025-12-03
CUST-028,2025-10-01,2025-10-02
CUST-028,2025-10-31,2025-11-03
CUST-028,2025-12-01,2025-12-02
CUST-029,2025-10-01,2025-10-13
CUST-029,2025-10-31,2025-11-12
CUST-029,2025-12-01,2025-12-15
CUST-030,2025-10-01,2025-10-09
CUST-030,2025-10-31,2025-11-07
CUST-030,2025-12-01,2025-12-08
CUST-031,2025-10-01,2025-10-06
CUST-031,2025-10-31,2025-11-03
CUST-031,2025-12-01,2025-12-01
CUST-032,2025-10-01,2025-10-06
CUST-032,2025-10-31,2025-11-04
CUST-032,2025-12-01,2025-12-01
CUST-033,2025-10-01,2025-10-03
CUST-033,2025-10-31,2025-11-03
CUST-033,2025-12-01,2025-12-02
CUST-034,2025-10-01,2025-10-08
CUST-034,2025-10-31,2025-11-07
CUST-034,2025-12-01,2025-12-08
CUST-035,2025-10-01,2025-10-02
CUST-035,2025-10-31,2025-11-03
CUST-035,2025-12-01,2025-12-01
CUST-036,2025-10-01,2025-10-06
CUST-036,2025-10-31,2025-11-03
CUST-036,2025-12-01,2025-12-08
CUST-037,2025-10-01,2025-09-29
CUST-037,2025-10-31,2025-10-31
CUST-037,2025-12-01,2025-11-27
CUST-038,2025-10-01,2025-09-25
CUST-038,2025-10-31,2025-10-27
CUST-038,2025-12-01,2025-11-26
CUST-039,2025-10-01,2025-10-08
CUST-039,2025-10-31,2025-11-07
CUST-039,2025-12-01,2025-12-08
CUST-040,2025-10-01,2025-10-02
CUST-040,2025-10-31,2025-11-03
CUST-040,2025-12-01,2025-12-03
