line_id,date,amount,text,balance
B-2026-01-0001,2026-01-02,-3850000,ACH DEBIT HARBORVIEW PROPERTIES RENT,236150000
B-2026-01-0002,2026-01-02,338339,STRIPE TRANSFER PO_0700001,236488339
B-2026-01-0003,2026-01-02,281473,ACH CREDIT CINDERVALE MEDIA LTD INV-2255,236769812
B-2026-01-0004,2026-01-02,1379592,ACH CREDIT OSTRANDER SYSTEMS LLC INV-2319 INV-2320 INV-2321,238149404
B-2026-01-0005,2026-01-02,359605,ACH CREDIT WRENFIELD SYSTEMS CORP INV-2223,238509009
B-2026-01-0006,2026-01-02,660999,ACH CREDIT WRENFIELD SYSTEMS INV-2224,239170008
B-2026-01-0007,2026-01-02,331818,WIRE IN EMBERLINE RETAIL CO INV-2280 INV-2281,239501826
B-2026-01-0008,2026-01-02,989368,WIRE IN HOLLOWBROOK ANALYTICS CO INV-2118 INV-2119,240491194
B-2026-01-0009,2026-01-02,223190,WIRE IN IRONBARK SECURITY INV-2215,240714384
B-2026-01-0010,2026-01-02,571239,WIRE IN KITTIWAKE FINANCE CORP INV-2087,241285623
B-2026-01-0011,2026-01-02,2613506,WIRE IN LARKSPUR ANALYTICS INC INV-2163 INV-2164,243899129
B-2026-01-0012,2026-01-02,2000000,WIRE IN MARROWSTONE GAMES INC INV-2035,245899129
B-2026-01-0013,2026-01-02,888505,WIRE IN PALISADE ENERGY INC INV-2261 INV-2262,246787634
B-2026-01-0014,2026-01-02,639361,WIRE IN PINECREST SECURITY LLC INV-2055,247426995
B-2026-01-0015,2026-01-02,448934,WIRE IN QUARRYSIDE BIO INC,247875929
B-2026-01-0016,2026-01-02,725343,WIRE IN QUARRYSIDE BIO INC INV-2194,248601272
B-2026-01-0017,2026-01-02,774138,WIRE IN QUARRYSIDE BIO INC INV-2195,249375410
B-2026-01-0018,2026-01-02,922096,WIRE IN UMBERFIELD FINANCE CORP INV-2135,250297506
B-2026-01-0019,2026-01-02,1326356,WIRE IN UMBERFIELD FINANCE CORP INV-2136,251623862
B-2026-01-0020,2026-01-05,-24154800,WIRE OUT STRATUS CLOUD SERVICES INV SC-0126,227469062
B-2026-01-0021,2026-01-05,423026,STRIPE TRANSFER PO_0700002,227892088
B-2026-01-0022,2026-01-05,395641,ACH CREDIT CINDERVALE MEDIA L INV-2254,228287729
B-2026-01-0023,2026-01-05,169421,ACH CREDIT CINDERVALE MEDIA LTD INV-2253,228457150
B-2026-01-0024,2026-01-05,713874,ACH CREDIT DRIFTWOOD SECURITY LLC INV-2018,229171024
B-2026-01-0025,2026-01-05,635715,ACH CREDIT YARROWBY FINANCE CO INV-2079,229806739
B-2026-01-0026,2026-01-05,347378,ACH CREDIT YARROWBY FINANCE CO INV-2080,230154117
B-2026-01-0027,2026-01-05,417500,WIRE IN ACME ROBOTICS INC INV-2040,230571617
B-2026-01-0028,2026-01-05,2219424,WIRE IN ELMSTEAD BIO CORP,232791041
B-2026-01-0029,2026-01-05,1262612,WIRE IN LANTERNFISH SECURITY INV-2046,234053653
B-2026-01-0030,2026-01-05,1206880,WIRE IN LANTERNFISH SECURITY INV-2047,235260533
B-2026-01-0031,2026-01-05,1947830,WIRE IN MARROWSTONE GAMES INC INV-2036,237208363
B-2026-01-0032,2026-01-05,1547997,WIRE IN MARROWSTONE GAMES INV-2034,238756360
B-2026-01-0033,2026-01-05,441860,WIRE IN MOSSGATE RETAIL IN INV-2202,239198220
B-2026-01-0034,2026-01-05,2215951,WIRE IN OAKHAVEN ANALYTICS INV-2010,241414171
B-2026-01-0035,2026-01-06,672183,STRIPE TRANSFER PO_0700003,242086354
B-2026-01-0036,2026-01-06,1588766,WIRE IN GOLDCREST LEGAL CO INV-2207,243675120
B-2026-01-0037,2026-01-06,2887763,WIRE IN GOLDCREST LEGAL CO INV-2209,246562883
B-2026-01-0038,2026-01-07,-3080977,ACH DEBIT GANTRY SECURITY AUDIT,243481906
B-2026-01-0039,2026-01-07,-1586080,ACH DEBIT TERN TELECOM,241895826
B-2026-01-0040,2026-01-07,953789,STRIPE TRANSFER PO_0700004,242849615
B-2026-01-0041,2026-01-07,132340,WIRE IN BIRCHFOLD MEDIA CO INV-2155,242981955
B-2026-01-0042,2026-01-07,5379120,WIRE IN ZEPHYRINE LABS CORP,248361075
B-2026-01-0043,2026-01-08,340461,STRIPE TRANSFER PO_0700005,248701536
B-2026-01-0044,2026-01-08,891905,ACH CREDIT DRIFTWOOD SECURITY LLC INV-2019,249593441
B-2026-01-0045,2026-01-08,135762,WIRE IN BIRCHFOLD MEDIA CO INV-2153,249729203
B-2026-01-0046,2026-01-08,48561,WIRE IN BIRCHFOLD MEDIA CO INV-2154,249777764
B-2026-01-0047,2026-01-08,600000,WIRE IN VALEWOOD HEALTH CORP INV-2177 INV-2178,250377764
B-2026-01-0048,2026-01-09,-2616887,ACH DEBIT SABLE DATACENTER POWER,247760877
B-2026-01-0049,2026-01-09,322012,STRIPE TRANSFER PO_0700006,248082889
B-2026-01-0050,2026-01-09,1595698,WIRE IN BRIGHTWATER ENERGY INV-2144,249678587
B-2026-01-0051,2026-01-09,1076186,WIRE IN FOXGLOVE ANALYTICS INC INV-2247 INV-2248,250754773
B-2026-01-0052,2026-01-09,1000000,WIRE IN LANTERNFISH SECURITY INC,251754773
